,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,Categories
80,output_CL_81,48,173,0.15336879432624115,15,7.208333333333332,5,0.14762182262182266,4,2.1586879432624118,77.0,0.130664996024651,1712304.0,2626140.0,595540.0,1329570.0,76230.0,157212.0,441144.0,81312.0,19756.0,7260.0,264.0,198651.0,11242.0,7063.0,76841.0,72277.0,7255.0,13014.0,14152.0,13432.0,2557.0,618.0,2442.0,2556.0,2408.0,400.0,73.0,182.0,449.0,219.0,16.0,50.0,2.0,0.0,CL
81,output_CL_82,48,200,0.1773049645390071,21,8.333333333333334,6,0.2500590538274361,4,2.006205673758865,131.0,0.1322468504131231,1712304.0,3036000.0,795960.0,1791900.0,129690.0,265540.0,675488.0,158620.0,34496.0,18172.0,924.0,309178.0,22202.0,16704.0,143640.0,126795.0,18578.0,28836.0,31163.0,28564.0,5069.0,1699.0,7163.0,7851.0,6057.0,1036.0,311.0,777.0,1664.0,742.0,105.0,262.0,27.0,1.0,CL
82,output_CL_83,48,198,0.17553191489361702,18,8.25,6,0.21584296694590815,4,2.0319148936170213,114.0,0.13318914599881926,1712304.0,3005640.0,783640.0,1676070.0,112860.0,220748.0,615296.0,132220.0,29964.0,14564.0,616.0,288467.0,19225.0,11522.0,120180.0,111661.0,13787.0,23689.0,25609.0,22953.0,4146.0,1354.0,5553.0,6009.0,4646.0,745.0,226.0,506.0,1242.0,495.0,60.0,162.0,11.0,0.0,CL
83,output_CL_84,48,180,0.1595744680851064,16,7.5,5,0.19207181707181709,4,2.100177304964539,88.0,0.1321239334920828,1712304.0,2732400.0,646624.0,1399860.0,87120.0,170544.0,467764.0,92532.0,20856.0,8448.0,220.0,218538.0,13473.0,8213.0,83667.0,77419.0,8596.0,15016.0,16134.0,14519.0,2683.0,770.0,2876.0,3038.0,2699.0,447.0,83.0,150.0,539.0,242.0,21.0,38.0,2.0,0.0,CL
84,output_CL_85,48,161,0.1427304964539007,15,6.708333333333332,5,0.1302945896695897,4,2.2101063829787235,54.0,0.13109483701572008,1712304.0,2443980.0,516120.0,1138500.0,53460.0,127072.0,346808.0,52228.0,13464.0,3124.0,0.0,158260.0,7345.0,5673.0,57019.0,51775.0,4545.0,7688.0,8362.0,8542.0,1655.0,302.0,990.0,1075.0,1245.0,212.0,17.0,0.0,131.0,80.0,4.0,0.0,0.0,0.0,CL
85,output_CL_86,48,185,0.16400709219858156,15,7.708333333333332,5,0.1896064583564584,4,2.101950354609929,93.0,0.13105937327289394,1712304.0,2808300.0,683540.0,1470150.0,92070.0,179476.0,513832.0,101684.0,23936.0,9768.0,308.0,235883.0,14615.0,8419.0,94307.0,88396.0,9650.0,17506.0,18793.0,17383.0,3273.0,925.0,3593.0,3719.0,3442.0,552.0,123.0,228.0,743.0,337.0,39.0,66.0,4.0,0.0,CL
86,output_CL_87,48,175,0.1551418439716312,15,7.291666666666668,6,0.21726918914418916,4,2.143617021276596,88.0,0.13157264803451724,1712304.0,2656500.0,609356.0,1362240.0,87120.0,166892.0,448404.0,92576.0,20240.0,8844.0,264.0,206023.0,13032.0,8063.0,79046.0,73408.0,8660.0,14357.0,15846.0,13914.0,2534.0,710.0,2834.0,3318.0,2628.0,461.0,127.0,188.0,532.0,271.0,27.0,49.0,2.0,0.0,CL
87,output_CL_88,48,204,0.18085106382978725,15,8.5,6,0.1755738474488475,4,1.9884751773049645,106.0,0.1341701080679847,1712304.0,3096720.0,834988.0,1711710.0,104940.0,213664.0,631532.0,120252.0,30448.0,12364.0,352.0,305666.0,18573.0,10072.0,118517.0,115723.0,11543.0,21987.0,22961.0,23056.0,4439.0,1068.0,4684.0,4802.0,4492.0,794.0,171.0,269.0,957.0,481.0,49.0,73.0,2.0,0.0,CL
88,output_CL_89,48,171,0.15159574468085107,16,7.125,5,0.18655019748769752,4,2.1764184397163118,91.0,0.1283814371174995,1712304.0,2595780.0,581372.0,1308780.0,90090.0,157960.0,432696.0,96360.0,19668.0,9900.0,308.0,192707.0,13098.0,7504.0,76750.0,70712.0,8891.0,15507.0,16785.0,13752.0,2581.0,878.0,3435.0,3549.0,3006.0,451.0,103.0,206.0,713.0,360.0,49.0,45.0,1.0,0.0,CL
89,output_CL_9,48,169,0.149822695035461,14,7.041666666666668,5,0.16241224053724054,4,2.148049645390071,65.0,0.13538776123841806,1712304.0,2565420.0,572308.0,1177110.0,64350.0,123596.0,350636.0,59092.0,13024.0,4444.0,132.0,174003.0,9447.0,5007.0,53916.0,51808.0,4616.0,8421.0,8781.0,7787.0,1459.0,345.0,1269.0,1331.0,1208.0,185.0,24.0,76.0,181.0,87.0,4.0,11.0,0.0,0.0,CL
90,output_CL_90,48,185,0.16400709219858156,23,7.708333333333332,6,0.18155090061260135,4,2.0576241134751774,93.0,0.13082272478373586,1712304.0,2808300.0,678392.0,1585980.0,92070.0,239888.0,568128.0,115192.0,27808.0,10780.0,440.0,250707.0,14308.0,16838.0,122301.0,100030.0,14892.0,19295.0,22681.0,22684.0,3831.0,1063.0,3955.0,5030.0,4046.0,761.0,149.0,346.0,785.0,361.0,29.0,75.0,3.0,0.0,CL
91,output_CL_91,48,179,0.15868794326241134,14,7.458333333333332,5,0.16918983793983802,4,2.108156028368794,69.0,0.13439231573607102,1712304.0,2717220.0,641828.0,1330560.0,68310.0,147884.0,430056.0,66616.0,17776.0,4884.0,44.0,208050.0,10630.0,6221.0,71049.0,68818.0,5486.0,10582.0,10715.0,11652.0,2199.0,388.0,1602.0,1602.0,1740.0,311.0,36.0,29.0,244.0,128.0,9.0,6.0,0.0,0.0,CL
92,output_CL_92,47,174,0.16096207215541167,16,7.404255319148937,5,0.14203379362953833,4,2.1156336725254388,77.0,0.13273473618081086,1533939.0,2469060.0,589358.0,1272370.0,72842.0,152736.0,435203.0,81657.0,19866.0,7912.0,215.0,200211.0,11268.0,7166.0,77853.0,73158.0,7865.0,13403.0,14994.0,13895.0,2617.0,659.0,2731.0,3063.0,2561.0,424.0,98.0,157.0,523.0,238.0,21.0,34.0,0.0,0.0,CL
93,output_CL_93,48,190,0.16843971631205673,17,7.916666666666668,5,0.1813183242411184,4,2.0868794326241136,100.0,0.12976317861770004,1712304.0,2884200.0,720544.0,1563210.0,99000.0,200596.0,566764.0,115148.0,28424.0,11704.0,396.0,257113.0,16083.0,10149.0,108516.0,101831.0,11632.0,20665.0,22106.0,21830.0,4077.0,1107.0,4503.0,4711.0,4500.0,803.0,172.0,308.0,946.0,533.0,66.0,88.0,6.0,0.0,CL
94,output_CL_94,48,178,0.15780141843971632,17,7.416666666666668,5,0.15259772226683993,4,2.092198581560284,75.0,0.13076458558490928,1712304.0,2702040.0,632808.0,1357290.0,74250.0,163196.0,450164.0,81004.0,19140.0,6952.0,132.0,209482.0,11284.0,7937.0,80517.0,74011.0,7919.0,13231.0,14732.0,13753.0,2605.0,641.0,2543.0,2822.0,2485.0,444.0,105.0,118.0,468.0,224.0,17.0,37.0,2.0,0.0,CL
95,output_CL_95,48,162,0.14361702127659576,13,6.75,5,0.13978752728752727,4,2.1808510638297878,50.0,0.13629554399895052,1712304.0,2459160.0,526196.0,1071180.0,49500.0,103312.0,300916.0,41404.0,10252.0,2684.0,44.0,152248.0,7009.0,3687.0,42243.0,42255.0,2810.0,5711.0,5625.0,5621.0,1156.0,206.0,723.0,699.0,723.0,106.0,11.0,22.0,93.0,35.0,0.0,5.0,0.0,0.0,CL
96,output_CL_96,48,179,0.15868794326241134,15,7.458333333333332,5,0.182785385910386,4,2.1400709219858154,74.0,0.13185731735834358,1712304.0,2717220.0,640728.0,1355310.0,73260.0,156684.0,451528.0,76252.0,20680.0,6072.0,88.0,210884.0,11291.0,7024.0,78418.0,74202.0,6921.0,12546.0,13282.0,14197.0,2543.0,555.0,2072.0,2213.0,2298.0,456.0,58.0,66.0,320.0,172.0,8.0,14.0,0.0,0.0,CL
97,output_CL_97,48,174,0.15425531914893614,18,7.25,5,0.19356229282699874,4,2.1117021276595747,73.0,0.13318429538571253,1712304.0,2641320.0,603988.0,1310760.0,72270.0,161128.0,422400.0,75240.0,16808.0,5500.0,132.0,197323.0,10773.0,8391.0,75946.0,66677.0,7467.0,11508.0,12522.0,11694.0,2159.0,534.0,1754.0,2026.0,1863.0,310.0,38.0,89.0,258.0,129.0,6.0,13.0,0.0,0.0,CL
